task,source_domain,target_domain,total_samples,source_accuracy,clip_accuracy,agreement_rate,conflict_rate,useful_conflict_rate_among_all,useful_conflict_rate_among_conflicts,agree_both_correct_pct,agree_both_wrong_pct,conflict_source_correct_clip_wrong_pct,conflict_source_wrong_clip_correct_pct,conflict_both_wrong_pct,agreement_samples,conflict_samples,useful_conflict_samples,agree_both_correct_count,agree_both_wrong_count,conflict_source_correct_clip_wrong_count,conflict_source_wrong_clip_correct_count,conflict_both_wrong_count
AC,Art,Clipart,4365,44.8797,59.4273,41.3975,58.6025,33.6082,57.3495,35.3494,6.0481,9.5304,24.0779,24.9943,1807,2558,1467,1543,264,416,1051,1091
AP,Art,Product,4439,67.1773,84.2307,65.3075,34.6925,27.4611,79.1558,61.9734,3.3341,5.2039,22.2573,7.2314,2899,1540,1219,2751,148,231,988,321
AR,Art,RealWorld,4357,74.5697,85.3569,72.4811,27.5189,22.3089,81.0676,68.8088,3.6723,5.7608,16.5481,5.21,3158,1199,972,2998,160,251,721,227
CA,Clipart,Art,2427,53.7289,74.7837,49.8558,50.1442,35.8879,71.5694,46.3123,3.5435,7.4166,28.4714,14.2563,1210,1217,871,1124,86,180,691,346
CP,Clipart,Product,4439,61.7031,84.2307,60.3064,39.6936,32.1694,81.0443,56.8822,3.4242,4.8209,27.3485,7.5242,2677,1762,1428,2525,152,214,1214,334
CR,Clipart,RealWorld,4357,64.9989,85.3569,63.0939,36.9061,30.4108,82.4005,59.9725,3.1214,5.0264,25.3844,6.4953,2749,1608,1325,2613,136,219,1106,283
PA,Product,Art,2427,51.9159,74.7837,49.6086,50.3914,35.5583,70.5642,45.5707,4.0379,6.3453,29.213,14.8331,1204,1223,863,1106,98,154,709,360
PC,Product,Clipart,4365,40.7789,59.4273,36.1741,63.8259,36.9301,57.8607,31.638,4.5361,9.1409,27.7892,26.8958,1579,2786,1612,1381,198,399,1213,1174
PR,Product,RealWorld,4357,72.2975,85.3569,70.4154,29.5846,24.168,81.6912,66.7432,3.6723,5.5543,18.6137,5.4166,3068,1289,1053,2908,160,242,811,236
RA,RealWorld,Art,2427,64.5241,74.7837,60.4038,39.5962,27.6473,69.8231,55.8302,4.5735,8.6939,18.9534,11.9489,1466,961,671,1355,111,211,460,290
RC,RealWorld,Clipart,4365,45.9336,59.4273,44.1237,55.8763,30.6758,54.8995,37.3425,6.7812,8.5911,22.0848,25.2005,1926,2439,1339,1630,296,375,964,1100
RP,RealWorld,Product,4439,77.9004,84.2307,76.0081,23.9919,18.7655,78.216,71.6828,4.3253,6.2176,12.5479,5.2264,3374,1065,833,3182,192,276,557,232
