task,accd_fp12,duet_paper,both_prior,delta_vs_duet,delta_vs_both_prior
AC,73.15,73.60,72.78,-0.45,0.37
AP,90.58,90.40,90.81,0.18,-0.23
AR,90.68,91.00,91.00,-0.32,-0.32
CA,83.23,83.60,83.23,-0.37,0.00
CP,90.88,90.70,90.92,0.18,-0.04
CR,90.48,90.90,90.64,-0.42,-0.16
PA,82.24,82.70,82.12,-0.46,0.12
PC,72.71,73.70,72.81,-0.99,-0.10
PR,90.89,91.20,90.82,-0.31,0.07
RA,82.98,83.60,82.57,-0.62,0.41
RC,72.99,74.00,72.97,-1.01,0.02
RP,90.88,91.20,90.97,-0.32,-0.09
Avg,84.3075,84.7167,84.3033,-0.4092,0.0042
