class_index,class,predicted_samples,stable_conflicts,teacher_confidence,teacher_margin,temporal_probability_agreement,temporal_top1_stability,candidate_containment_rate,source_support_rate,clip_support_rate,base_teacher_agreement_rate,graph_intervention_rate,agreement_anchor_precision,agreement_anchor_recall,conflict_opportunity_rate
0,aeroplane,3646,1378,0.9872859546209108,0.9784016281328999,0.9839395502860929,0.9899425287356322,0.9985486211901307,0.9702467343976778,0.9898403483309144,0.9941944847605225,0.005805515239477504,0.9994402462916316,1.0,0.38178826110806363
1,bicycle,3679,2211,0.9624715883205618,0.9325716302128403,0.9477721524858631,0.9481132075471698,0.9990954319312528,0.9507010402532791,0.9782903663500678,0.9895974672094076,0.010402532790592492,0.9991145218417946,0.9997046662728883,0.6338678988855667
2,bus,4667,2033,0.9416481714440987,0.8930076703386134,0.9438025291700405,0.9394639556377079,0.9965568125922283,0.9144121987211018,0.9798327594687654,0.9901623216920806,0.009837678307919331,0.9981464318813716,0.9993041057759221,0.46368116563102635
3,car,9210,3260,0.907890521085884,0.8326324905048337,0.9139154495876483,0.9293044469783353,0.9763803680981595,0.907361963190184,0.8392638036809816,0.8760736196319019,0.12392638036809817,0.9881928908774547,0.9997485225700994,0.38089033659066235
4,horse,4819,1539,0.9802399387872397,0.9664243499771387,0.96678800668639,0.9667085427135679,0.9974009096816114,0.9701104613385315,0.9785575048732943,0.98635477582846,0.01364522417153996,0.9995740149094782,1.0,0.3303589956422494
5,knife,2453,2193,0.9691882759020093,0.9482554724352577,0.9689430411418537,0.9686395759717314,0.9972640218878249,0.9740082079343365,0.9858641130870953,0.9927040583675331,0.00729594163246694,0.9969578444154715,0.9956597222222222,0.9229514879739095
6,motorcycle,5870,1053,0.9374436028266337,0.8885828951490582,0.9202676723404002,0.9132697311361665,1.0,0.9439696106362773,0.9620132953466287,0.9857549857549858,0.014245014245014245,1.0,0.9992868604029239,0.19642248722316866
7,person,4751,3969,0.9304993071748917,0.8835255105655955,0.9338126593211201,0.9367476988435214,0.998740236835475,0.9687578735197783,0.9748047367094986,0.9894179894179894,0.010582010582010581,0.9979386165826843,0.9915794264906691,0.8918122500526205
8,plant,4465,1974,0.9776210602384208,0.9608108630208981,0.9657813588197973,0.9676470588235294,0.9984802431610942,0.96403242147923,0.9782168186423505,0.983789260385005,0.016210739614994935,0.9993011879804332,0.9990684676292502,0.4568868980963046
9,skateboard,2714,1650,0.9562944515004302,0.9223411390908909,0.9495931874156833,0.9455587392550143,0.9975757575757576,0.9527272727272728,0.9745454545454545,0.990909090909091,0.00909090909090909,0.9996019108280255,0.996033320111067,0.6429624170965365
10,train,4195,971,0.9336699171549997,0.8839207708161665,0.9434884459504262,0.9575936883629191,0.9989701338825953,0.9104016477857878,0.972193614830072,0.9907312049433573,0.009268795056642637,0.99975,0.9992503748125937,0.24171632896305126
11,truck,4919,3721,0.911772235631302,0.8401709126767397,0.9266252796910399,0.9247017892644135,0.9994625100779361,0.9422198333781242,0.9801128728836335,0.9940876108572965,0.005912389142703574,0.998867240598097,0.9861328561842988,0.8180524496848953
