variant,class,final_accuracy
official_duet_control,aeroplane,97.45
official_duet_control,bicycle,83.63
official_duet_control,bus,84.82
official_duet_control,car,80.42
official_duet_control,horse,96.87
official_duet_control,knife,93.98
official_duet_control,motorcycle,93.91
official_duet_control,person,84.18
official_duet_control,plant,92.46
official_duet_control,skateboard,93.56
official_duet_control,train,91.19
official_duet_control,truck,62.74
v0_stable_head_archived,aeroplane,97.56
v0_stable_head_archived,bicycle,86.01
v0_stable_head_archived,bus,85.61
v0_stable_head_archived,car,75.36
v0_stable_head_archived,horse,96.27
v0_stable_head_archived,knife,95.81
v0_stable_head_archived,motorcycle,93.5
v0_stable_head_archived,person,80.68
v0_stable_head_archived,plant,91.91
v0_stable_head_archived,skateboard,94.56
v0_stable_head_archived,train,91.34
v0_stable_head_archived,truck,65.34
v1_monotonic_head,aeroplane,97.53
v1_monotonic_head,bicycle,86.79
v1_monotonic_head,bus,85.76
v1_monotonic_head,car,74.66
v1_monotonic_head,horse,96.31
v1_monotonic_head,knife,95.95
v1_monotonic_head,motorcycle,93.39
v1_monotonic_head,person,80.8
v1_monotonic_head,plant,91.78
v1_monotonic_head,skateboard,94.96
v1_monotonic_head,train,91.5
v1_monotonic_head,truck,66.87
v2_stable_nohead,aeroplane,97.59
v2_stable_nohead,bicycle,85.53
v2_stable_nohead,bus,84.78
v2_stable_nohead,car,76.93
v2_stable_nohead,horse,96.91
v2_stable_nohead,knife,95.08
v2_stable_nohead,motorcycle,93.18
v2_stable_nohead,person,82.88
v2_stable_nohead,plant,92.64
v2_stable_nohead,skateboard,93.95
v2_stable_nohead,train,91.15
v2_stable_nohead,truck,65.47
v3_monotonic_nohead,aeroplane,97.56
v3_monotonic_nohead,bicycle,86.62
v3_monotonic_nohead,bus,84.75
v3_monotonic_nohead,car,76.27
v3_monotonic_nohead,horse,96.97
v3_monotonic_nohead,knife,95.18
v3_monotonic_nohead,motorcycle,92.96
v3_monotonic_nohead,person,83.0
v3_monotonic_nohead,plant,92.48
v3_monotonic_nohead,skateboard,93.82
v3_monotonic_nohead,train,91.6
v3_monotonic_nohead,truck,66.98
